"name"
"Ida Kamińska"
"Carol Kane"
"Diane Keaton"
"Michael Keaton"
"Lila Kedrova"
"Catherine Keener"
"Harvey Keitel"
"Cecil Kellaway"
"Sally Kellerman"
"Gene Kelly"
"Grace Kelly"
"Nancy Kelly"
"Anna Kendrick"
"Arthur Kennedy"
"George Kennedy"
"Barry Keoghan"
"Deborah Kerr"
"Nicole Kidman"
"Rinko Kikuchi"
"Regina King"
"Ben Kingsley"
"Greg Kinnear"
"Vanessa Kirby"
"Sally Kirkland"
"Kevin Kline"
"Shirley Knight"
"Keira Knightley"
"Alexander Knox"
"Susan Kohner"
"Miliza Korjus"
"Troy Kotsur"
"Jack Kruschen"
"Diane Ladd"
"Jocelyne LaGarde"
"Christine Lahti"
"Burt Lancaster"
"Elsa Lanchester"
"Martin Landau"
"Diane Lane"
"Hope Lange"
"Jessica Lange"
"Frank Langella"
"Angela Lansbury"
"Brie Larson"
"Queen Latifah"
"Charles Laughton"
"Piper Laurie"
"Jude Law"
"Jennifer Lawrence"
"Eva Le Gallienne"
"Cloris Leachman"
"Heath Ledger"
"Peggy Lee"
"Andrea Leeds"
"Janet Leigh"
"Jennifer Jason Leigh"
"Vivien Leigh"
"Margaret Leighton"
"Jack Lemmon"
"Lotte Lenya"
"Melissa Leo"
"Michael Lerner"
"Jared Leto"
"Juliette Lewis"
"Laura Linney"
"John Lithgow"
"Sondra Locke"
"Gene Lockhart"
"Robert Loggia"
"Carole Lombard"
"Sophia Loren"
"Joan Lorring"
"Bessie Love"
"Paul Lukas"
"Alfred Lunt"
"Ali MacGraw"
"Shirley MacLaine"
"Aline MacMahon"
"William H. Macy"
"Amy Madigan"
"Virginia Madsen"
"Anna Magnani"
"Marjorie Main"
"Mako"
"Karl Malden"
"Rami Malek"
"John Malkovich"
"Dorothy Malone"
"Joe Mantell"
"Lesley Manville"
"Rooney Mara"
"Fredric March"
"Colette Marchand"
"John Marley"
"Lee Marvin"
"James Mason"
"Marsha Mason"
"Daniel Massey"
"Raymond Massey"
"Mary E. Mastrantonio"
"Marcello Mastroianni"
"Marlee Matlin"
"Walter Matthau"
"Rachel McAdams"
"Mercedes McCambridge"
"Kevin McCarthy"
"Melissa McCarthy"
"Matthew McConaughey"
"Patty McCormack"
"Hattie McDaniel"
"Mary McDonnell"
"Frances McDormand"
"Elizabeth McGovern"
"Dorothy McGuire"
"Ian McKellen"
"Victor McLaglen"
"Maggie McNamara"
"Steve McQueen"
"Janet McTeer"
"Kay Medford"
"Adolphe Menjou"
"Vivien Merchant"
"Melina Mercouri"
"Burgess Meredith"
"Una Merkel"
"Paul Mescal"
"Laurie Metcalf"
"Bette Midler"
"Sarah Miles"
"Sylvia Miles"
"Penelope Milford"
"Ray Milland"
"Jason Miller"
"John Mills"
"Sal Mineo"
"Liza Minnelli"
"Helen Mirren"
"Thomas Mitchell"
"Robert Mitchum"
"Mo'Nique"
"Fernanda Montenegro"
"Robert Montgomery"
"Ron Moody"
"Dudley Moore"
"Grace Moore"
"Juanita Moore"
"Julianne Moore"
"Mary Tyler Moore"
"Terry Moore"
"Agnes Moorehead"
"Rita Moreno"
"Frank Morgan"
"Cathy Moriarty"
"Pat Morita"
"Robert Morley"
"Chester Morris"
"Viggo Mortensen"
"Samantha Morton"
"Armin Mueller-Stahl"
"Carey Mulligan"
"Paul Muni"
"Eddie Murphy"
"Bill Murray"
"Don Murray"
"J. Carrol Naish"
"Mildred Natwick"
"Patricia Neal"
"Liam Neeson"
"Ruth Negga"
"Kate Nelligan"
"Paul Newman"
"Haing S. Ngor"
"Jack Nicholson"
"Bill Nighy"
"David Niven"
"Nick Nolte"
"Edward Norton"
"Lupita Nyong'o"
"Edmond O'Brien"
"Arthur O'Connell"
"Dan O'Herlihy"
"Michael O'Keefe"
"Ryan O'Neal"
"Tatum O'Neal"
"Barbara O'Neil"
"Peter O'Toole"
"Jack Oakie"
"Merle Oberon"
"Leslie Odom Jr."
"Sophie Okonedo"
"Gary Oldman"
"Lena Olin"
"Edna May Oliver"
"Laurence Olivier"
"Edward James Olmos"
"Nancy Olson"
"Haley Joel Osment"
"Maria Ouspenskaya"
"Clive Owen"
"Al Pacino"
"Elliot Page"
"Geraldine Page"
"Jack Palance"
"Chazz Palminteri"
"Gwyneth Paltrow"
"Anna Paquin"
"Eleanor Parker"
"Larry Parks"
"Estelle Parsons"
"Dev Patel"
"Marisa Pavan"
"Katina Paxinou"
"David Paymer"
"Gregory Peck"
"Sean Penn"
"Rosie Perez"
"Anthony Perkins"
"Valerie Perrine"
"Joe Pesci"
"Susan Peters"
"Michelle Pfeiffer"
"Joaquin Phoenix"
"River Phoenix"
"Mary Pickford"
"Walter Pidgeon"
"Rosamund Pike"
"Brad Pitt"
"Jesse Plemons"
"Joan Plowright"
"Christopher Plummer"
"Sidney Poitier"
"Michael J. Pollard"
"Natalie Portman"
"Pete Postlethwaite"
"William Powell"
"Robert Preston"
"Jonathan Pryce"
"Florence Pugh"
"Randy Quaid"
"Ke Huy Quan"
"Anthony Quayle"
"Kathleen Quinlan"
"Anthony Quinn"
"Paul Raci"
"Luise Rainer"
"Claude Rains"
"Marjorie Rambeau"
"Charlotte Rampling"
"Anne Ramsey"
"Basil Rathbone"
"Stephen Rea"
"Robert Redford"
"Lynn Redgrave"
"Michael Redgrave"
"Vanessa Redgrave"
"Joyce Redman"
"Eddie Redmayne"
"Donna Reed"
"John C. Reilly"
"Lee Remick"
"Jeremy Renner"
"Anne Revere"
"Burt Reynolds"
"Debbie Reynolds"
"Beah Richards"
"Miranda Richardson"
"Ralph Richardson"
"Andrea Riseborough"
"Thelma Ritter"
"Emmanuelle Riva"
"Jason Robards"
"Margot Robbie"
"Tim Robbins"
"Eric Roberts"
"Julia Roberts"
"Rachel Roberts"
"Cliff Robertson"
"Flora Robson"
"May Robson"
"Sam Rockwell"
"Ginger Rogers"
"Howard Rollins"
"Saoirse Ronan"
"Mickey Rooney"
"Diana Ross"
"Katharine Ross"
"Tim Roth"
"Mickey Rourke"
"Gena Rowlands"
"Mercedes Ruehl"
"Mark Ruffalo"
"Geoffrey Rush"
"Harold Russell"
"Rosalind Russell"
"Margaret Rutherford"
"Amy Ryan"
"Robert Ryan"
"Winona Ryder"
"Mark Rylance"
"Eva Marie Saint"
"George Sanders"
"Catalina Sandino Moreno"
"Chris Sarandon"
"Susan Sarandon"
"Telly Savalas"
"Diana Scarwid"
"Roy Scheider"
"Maximilian Schell"
"Joseph Schildkraut"
"Paul Scofield"
"George C. Scott §"
"Martha Scott"
"Kristin Scott Thomas"
"George Segal"
"Peter Sellers"
"Chloë Sevigny"
"Amanda Seyfried"
"Michael Shannon"
"Omar Sharif"
"Robert Shaw"
"Norma Shearer"
"Sam Shepard"
"Talia Shire"
"Anne Shirley"
"Elisabeth Shue"
"Gabourey Sidibe"
"Sylvia Sidney"
"Simone Signoret"
"J. K. Simmons"
"Jean Simmons"
"Frank Sinatra"
"Gary Sinise"
"Lilia Skala"
"Kodi Smit-McPhee"
"Maggie Smith"
"Will Smith"
"Carrie Snodgress"
"Gale Sondergaard"
"Mira Sorvino"
"Ann Sothern"
"Sissy Spacek"
"Kevin Spacey"
"Octavia Spencer"
"June Squibb"
"Robert Stack"
"Sylvester Stallone"
"Terence Stamp"
"Lakeith Stanfield"
"Kim Stanley"
"Barbara Stanwyck"
"Maureen Stapleton"
"Imelda Staunton"
"Mary Steenburgen"
"Rod Steiger"
"Hailee Steinfeld"
"James Stephenson"
"Jan Sterling"
"James Stewart"
"Kristen Stewart"
"Dean Stockwell"
"Emma Stone"
"Lewis Stone"
"Sharon Stone"
"Beatrice Straight"
"Lee Strasberg"
"David Strathairn"
"Robert Strauss"
"Meryl Streep"
"Barbra Streisand"
"Erich von Stroheim"
"Gloria Stuart"
"Margaret Sullavan"
"Janet Suzman"
"Hilary Swank"
"Gloria Swanson"
"Tilda Swinton"
"Russ Tamblyn"
"Akim Tamiroff"
"Jessica Tandy"
"Elizabeth Taylor"
"Charlize Theron"
"Emma Thompson"
"Billy Bob Thornton"
"Uma Thurman"
"Lawrence Tibbett"
